,ID RESTAURANT,GRADE,DBA,Latitude,Longitude,Exponential Smoothed Score,Probabilistic risk Score,Final Cluster,CUISINE DESCRIPTION
0,30075445,A,MORRIS PARK BAKE SHOP,40.84823122,-73.85597189,10.8023229,12.36132494,0,Bakery Products/Desserts
1,30112340,A,WENDY'S,40.66265152,-73.96208137,10.22208033,11.69734118,2,Hamburgers
2,30191841,A,DJ REYNOLDS PUB AND RESTAURANT,40.76732571,-73.98431042,10.54903736,12.07148497,2,Irish
3,40356018,A,RIVIERA CATERERS,40.57989566,-73.98208666,7.874186397,9.010596847,2,American
4,40356483,A,WILKEN'S FINE FOOD,40.62011159,-73.90698949,6.405382702,7.329813935,1,Sandwiches
5,40356731,A,TASTE THE TROPICS ICE CREAM,40.64079502,-73.94848798,11.30664973,12.93843672,0,Frozen Desserts
6,40357217,A,WILD ASIA,40.85053675,-73.88245508,9.903222482,11.33246545,2,American
7,40359480,A,1 EAST 66TH STREET KITCHEN,40.76854691,-73.96958058,8.168685481,9.347598333,3,American
8,40359705,A,NATHAN'S FAMOUS,40.57553687,-73.98165226,10.02816668,11.47544172,2,Hotdogs
9,40360045,A,SEUDA FOODS,40.60618692,-73.96546645,13.26184694,15.17580994,0,Jewish/Kosher
10,40361618,A,SAL'S DELI,40.78167384,-73.83941598,10.19867844,11.67056191,0,Sandwiches
11,40361998,A,STEVE CHU'S DELI & GROCERY,40.76457121,-73.93882546,9.306344382,10.6494453,0,Sandwiches
12,40362264,A,P & S DELI GROCERY,40.79262064,-73.96770962,12.35112931,14.13365664,3,American
13,40362274,A,ANGELIKA FILM CENTER,40.72574362,-73.99747811,9.975166157,11.41479211,3,American
14,40362432,A,HO MEI RESTAURANT,40.75330591,-73.86429538,7.8996832,9.039773374,3,Chinese
15,40362869,A,SHASHEMENE INT'L RESTAURANT,40.65198322,-73.92457494,6.998906359,8.00899552,2,Caribbean
16,40363298,A,CAFE METRO,40.75618542,-73.99056473,5.165458554,5.910942695,2,American
17,40363427,A,BAGELS N BUNS,40.61026786,-74.14640121,10.03728094,11.48587136,3,Sandwiches
18,40363834,A,CARVEL,40.59855313,-74.07964601,8.723897468,9.982939069,2,Frozen Desserts
19,40363920,A,NEW GOLDEN BILLION,40.66214059,-73.92718021,2.816005309,3.22241401,1,Chinese
20,40364220,A,KOSHER BAGEL HOLE,40.62511113,-73.96203434,6.70535451,7.673077975,1,Jewish/Kosher
21,40364296,A,HAPPY GARDEN,40.86364881,-73.89423962,12.15409956,13.90819136,1,Chinese
22,40364305,A,PHILADELPHIA GRILLE EXPRESS,40.61272249,-74.03375177,4.700796186,5.379219789,1,Pizza
23,40364335,A,PETER LUGER STEAKHOUSE,40.7099798,-73.96251244,9.501551105,10.87282446,1,Steakhouse
24,40364347,A,METROPOLITAN CLUB,40.76479552,-73.97230783,12.53278525,14.34152934,0,American
25,40364373,A,ISLE OF CAPRI RESTURANT,40.76270774,-73.96574958,8.239048782,9.428116537,2,Italian
26,40364389,A,OLD TOWN BAR & RESTAURANT,40.73759507,-73.98964721,12.68500517,14.51571779,0,American
27,40364439,A,SEVILLA RESTAURANT,40.73490838,-74.00297329,14.39603034,16.47367982,0,Latin American
28,40364443,B,CRIMINAL COURT BLDG CAFETERIA,40.71607657,-74.0014249,20.73881315,23.7318594,0,American
29,40364449,A,GOTTSCHEER HALL,40.70664797,-73.90573574,11.74495752,13.44000153,0,German
30,40364467,A,NYAC MAIN DINING ROOM,40.76671822,-73.97873659,7.796461174,8.921654242,3,American
31,40364518,A,7B BAR,40.72498456,-73.98128265,10.43430345,11.94019255,0,American
32,40364572,A,DONOHUE'S STEAK HOUSE,40.76551288,-73.96576979,9.994760095,11.43721386,0,Steakhouse
33,40364581,A,JUNIOR'S,40.69020015,-73.9816242,12.25572504,14.02448353,3,American
34,40364715,A,OLD HOMESTEAD,40.74137222,-74.00503776,12.80181674,14.64938773,1,American
35,40364744,A,NEW PARK PIZZERIA & RESTAURANT,40.6631017,-73.84083793,10.46045854,11.97012237,0,Pizza
36,40364858,A,DOUGLASTON CLUB,40.77632972,-73.75283544,8.218836774,9.404987512,1,American
37,40364956,A,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,40.83061012,-73.84964668,12.42049807,14.21303676,0,American
38,40365013,A,CRYSTAL ROOM,40.59281418,-74.07067712,9.692529036,11.09136451,1,Italian
39,40365075,A,MCSORLEY'S OLD ALE HOUSE,40.728584,-73.98953677,12.42049807,14.21303676,0,Irish
40,40365120,A,SOUTH SHORE SWIMMING CLUB,40.50806852,-74.22828215,12.54306004,14.35328701,1,American
41,40365166,A,CORNER BISTRO,40.73792485,-74.00386112,13.95125368,15.96471256,2,American
42,40365239,A,DORRIAN'S RED HAND RESTAURANT,40.77640497,-73.95280207,7.959306812,9.108001926,3,Irish
43,40365264,A,LA GRENOUILLE,40.75965816,-73.97597744,10.63548433,12.17040806,1,French
44,40365288,A,KEATS RESTAURANT,40.75159837,-73.9708949,4.714610321,5.395027594,2,American
45,40365387,A,ARTURO'S,40.72723405,-74.00051594,8.049292428,9.210974356,1,Italian
46,40365499,A,YANKEE TAVERN,40.82755786,-73.9251412,12.42049807,14.21303676,0,American
47,40365525,B,DONUT PUB,40.73874834,-74.00014434,20.1316546,23.03707512,0,Donuts
48,40365546,B,REBEN LUNCHEONETTE,40.70903995,-73.95915129,25.77171847,29.49111864,3,American
49,40365577,A,V & T RESTAURANT,40.80332942,-73.96361191,5.818565785,6.658307015,2,Italian
50,40365627,A,JAHN'S RESTAURANT,40.74965337,-73.88507357,14.01541897,16.03813824,3,American
51,40365632,A,J&V FAMOUS PIZZA,40.61995673,-73.98935214,9.283667066,10.62349518,3,Pizza
52,40365644,A,JOE ALLEN RESTAURANT,40.7601789,-73.98888203,12.04114113,13.77893065,1,American
53,40365726,A,BARBETTA RESTAURANT,0,0,7.497203213,8.579207073,2,Italian
54,40365784,A,GARGIULO'S RESTAURANT,40.57655533,-73.98258432,10.36455257,11.86037515,2,Italian
55,40365789,A,PATSY'S ITALIAN RESTAURANT,40.7656182,-73.98239751,11.04092924,12.63436719,1,Italian
56,40365841,A,PARKSIDE RESTAURANT,40.7437251,-73.85623838,7.959306812,9.108001926,3,Italian
57,40365844,A,LAVELLE'S ADMIRAL'S CLUB,40.75700231,-73.9148,10.02131278,11.46759866,3,Other
58,40365871,A,NEARY'S PUB,40.75863939,-73.96374832,12.30058657,14.07581952,0,American
59,40365882,A,NEW YORK PIZZA SUPREMA,40.75003195,-73.99504099,12.5945677,14.4122283,3,Pizza
60,40365904,C,MEE SUM CAFE,40.71486063,-73.99819997,47.67761667,54.55849796,0,Coffee/Tea
61,40365942,A,HOP KEE RESTAURANT,40.71436383,-73.99878436,12.28251142,14.05513574,2,Chinese
62,40365968,A,NANCY WHISKEY PUB,40.72053946,-74.00501092,9.563464083,10.94367278,0,American
63,40365972,A,BLARNEY BAR,40.70180334,-73.80867561,10.52947719,12.04910186,3,American
64,40366002,A,MARGHERITA PIZZA,40.70466771,-73.79682288,9.171951456,10.49565666,1,Pizza
65,40366054,A,HEALY'S PUB,40.58173375,-73.83028283,11.07808841,12.6768892,3,American
66,40366132,A,DENINO'S PIZZERIA TAVERN,40.63002441,-74.14016887,10.09370761,11.55044158,2,Pizza
67,40366154,A,MICHAEL'S RESTAURANT,40.60741859,-73.94300363,10.90250342,12.47596361,2,Italian
68,40366222,A,KILLARNEY ROSE,40.70533871,-74.00869226,6.501170526,7.439425954,1,Irish
69,40366230,C,DON PEPPE,40.67025824,-73.82097608,35.40155028,40.5107374,0,Italian
70,40366356,A,BLARNEY CASTLE,40.56077579,-73.9117834,11.4424938,13.09388594,3,American
71,40366471,A,ROLL-N-ROASTER,40.58386661,-73.93969006,24.84608824,28.43190052,1,American
72,40366473,A,TIO PEPE,40.7320566,-74.00144328,10.2133657,11.68736884,2,Seafood
73,40366487,A,BRENNAN & CARR,40.60038588,-73.94189333,6.244872978,7.146139287,3,American
74,40366497,A,THE PUNCH BOWL,40.88520606,-73.90057393,11.43782751,13.08854621,0,American
75,40366543,A,JARDIN DE CHINA REST,40.7507548,-73.87036048,16.75209899,19.16977865,0,Chinese
76,40366574,A,BLARNEY STONE,40.70652394,-74.01384656,8.759722087,10.02393393,1,Irish
77,40366586,A,SHIMONS KOSHER PIZZA,40.72718118,-73.82209618,11.79265898,13.49458731,2,Jewish/Kosher
78,40366652,A,FASCATI'S PIZZERIA,40.69844393,-73.99254562,6.189564182,7.082848271,1,Pizza
79,40366711,B,LI GRECI'S STAATEN RESTAURANT,40.62947594,-74.11233734,19.30772866,22.09423936,3,American
80,40366716,A,SHUN LEE PALACE RESTAURANT,40.75937665,-73.96948371,9.694673084,11.09381799,3,Chinese
81,40366742,A,TAMAQUA,40.59435177,-73.93015661,11.72485272,13.41699518,3,Bottled Beverages
82,40366879,A,LA FUSTA RESTAURANT,40.7447068,-73.88456967,10.88220824,12.45273941,2,Latin American
83,40366928,A,RICHMOND COUNTY COUNTRY CLUB,40.5879359,-74.10407271,12.66966465,14.49816331,0,American
84,40366938,B,LULU'S COFFEE SHOP,40.83170704,-73.85099931,25.29553924,28.94621674,3,Coffee/Tea
85,40366961,A,MITCHELL'S RESTAURANT,40.67885037,-73.96841748,11.63277133,13.31162451,2,Soul Food
86,40367005,A,DA VINCI PIZZA,40.61897968,-73.99034286,12.84390773,14.69755333,1,Pizza
87,40367038,A,MEXICO LINDO RESTAURANT,40.73964407,-73.97961494,12.72800084,14.56491865,2,Mexican
88,40367161,A,MARINA DEL REY,40.81453855,-73.81505544,7.211268186,8.252005617,3,American
89,40367179,A,TWINS PUB,40.75305399,-73.99655669,11.20762908,12.82512531,0,Irish
90,40367189,A,BROOME STREET BAR,40.72311686,-74.00312428,10.17057743,11.63840533,0,American
91,40367232,A,O'HANLON'S PUB,40.77494827,-73.9121196,5.677425989,6.496797781,1,Irish
92,40367240,A,CHARLIES SPORTS BAR,0,0,10.41842494,11.92202244,2,Bottled Beverages
93,40367241,A,JG MELON RESTAURANT,40.7711925,-73.95953182,10.3091057,11.79692614,0,American
94,40367338,A,"TAP ROOM, GRAB & GO",40.76671822,-73.97873659,7.076656946,8.097967149,1,American
95,40367339,A,COCKTAIL ROOM (NYAC),40.76671822,-73.97873659,2.246958921,2.571242278,2,American
96,40367365,A,THE FLAME DINER,40.76843198,-73.98534267,11.05921637,12.65529353,2,American
97,40367373,A,JACKSON HOLE,40.76430997,-73.96345643,10.69522452,12.23877001,2,Hamburgers
98,40367377,A,ZUM STAMMTISCH,40.7018689,-73.88159658,6.673733268,7.636893123,1,German
99,40367442,A,BUDDY'S WONDER BAR,40.63675542,-74.13493705,12.17647593,13.93379711,0,American
